2005,7,1,AA,1,New York NY,Los Angeles CA,0,360
2005,7,2,AA,1,New York NY,Los Angeles CA,0,344
2005,7,3,AA,1,New York NY,Los Angeles CA,0,344
2005,7,4,AA,1,New York NY,Los Angeles CA,0,373
2005,7,5,AA,1,New York NY,Los Angeles CA,0,365
2015,7,31,WN,409,Reno NV,Las Vegas NV,0,68
2015,7,31,WN,632,Reno NV,Las Vegas NV,0,69
2015,7,31,WN,1194,Reno NV,Las Vegas NV,0,71
2015,7,31,WN,1306,Reno NV,Las Vegas NV,0,75
2015,7,31,WN,1514,Reno NV,Las Vegas NV,0,67
